Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,is_dropout,academic_performance,success_ratio,student_age,has_debt,has_scholarship,fees_updated,actual_status,predicted_status,prediction_probability,status_label,prediction_label,prediction_correct,risk_level
1,1,3,9500,1,1,134.0,1,1,37,8,7,120.5,1,0,0,1,1,1,18,0,0,7,12,7,11.716666666666663,0,0,8,13,4,10.868,0,15.5,2.8,-4.06,0,11.292333333333332,0.7333328444447704,18,0,1,1,0,0,0.2634331,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Sedang
1,1,2,9500,1,1,140.0,1,38,38,9,7,138.8,1,0,0,1,0,0,19,0,0,7,7,6,12.766666666666666,0,0,7,7,6,12.766666666666666,0,7.6,2.6,0.32,0,12.766666666666666,0.8571422448983965,19,0,0,1,0,0,0.03199645,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,7,1,9500,1,3,140.0,1,1,1,9,5,140.0,0,0,0,1,0,0,33,0,2,7,8,6,14.35,0,3,8,10,6,14.583333333333334,0,16.2,0.3,-0.92,1,14.466666666666667,0.7999994666670223,33,0,0,1,1,0,0.055066153,Dropout,Diprediksi Tidak Dropout,Salah,Risiko Rendah
1,1,2,9500,1,1,137.0,1,19,19,7,7,120.8,1,0,0,1,0,1,18,0,0,8,8,7,14.654285714285717,0,0,8,8,7,14.654285714285717,0,10.8,1.4,1.74,0,14.654285714285717,0.8749994531253418,18,0,1,1,0,0,0.02233682,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,17,4,9254,1,1,124.0,1,1,1,4,4,122.3,1,0,0,1,0,0,19,0,0,6,7,6,11.666666666666666,0,0,6,6,6,12.333333333333334,0,13.9,-0.3,0.79,1,12.0,0.9999991666673611,19,0,0,1,1,0,0.04313576,Dropout,Diprediksi Tidak Dropout,Salah,Risiko Rendah
5,1,3,9085,1,1,133.0,1,19,19,4,7,119.7,1,0,0,1,0,0,21,0,0,5,13,5,12.2,2,0,5,10,3,11.333333333333334,1,9.4,-0.8,-3.12,0,11.766666666666666,0.7999992000008,21,0,0,1,0,0,0.0834837,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,1,9500,1,1,139.0,1,37,38,6,6,121.3,1,0,0,1,0,1,19,0,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,0,11.833333333333334,0.749999531250293,19,0,1,1,0,0,0.054767694,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,1,171,1,1,156.0,1,3,3,2,2,147.7,1,0,0,1,0,0,21,0,6,12,12,12,15.333333333333334,0,4,11,15,11,15.0,0,8.9,1.4,3.51,0,15.166666666666668,0.9999995652175804,21,0,0,1,0,0,0.07333186,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,17,1,9147,1,1,115.0,1,19,19,7,7,115.0,1,0,0,1,0,0,23,0,0,5,7,2,10.0,1,0,5,9,1,12.0,0,9.4,-0.8,-3.12,0,11.0,0.2999997000003,23,0,0,1,0,1,0.7338712,Tidak Dropout,Diprediksi Dropout,Salah,Risiko Tinggi
1,1,2,9670,1,1,120.0,1,3,19,4,5,115.5,1,0,0,1,0,0,18,0,0,6,8,5,13.0,0,0,6,8,5,14.0,0,13.9,-0.3,0.79,0,13.5,0.8333326388894676,18,0,0,1,0,0,0.11858401,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,1,9238,1,1,145.0,1,19,37,4,7,148.9,1,0,0,1,0,1,18,0,0,6,6,6,13.666666666666666,0,0,6,6,6,13.0,0,10.8,1.4,1.74,0,13.333333333333332,0.9999991666673611,18,0,1,1,0,0,0.017369665,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,39,1,9238,1,19,133.1,1,37,37,9,9,139.0,0,0,1,0,1,0,33,0,0,6,8,0,0.0,0,0,5,6,0,0.0,0,16.2,0.3,-0.92,1,0.0,0.0,33,1,0,0,1,1,0.98330736,Dropout,Diprediksi Dropout,Benar,Risiko Sangat Tinggi
1,39,1,9085,1,19,133.1,1,37,37,9,9,100.0,1,0,1,0,0,1,26,0,0,6,7,0,0.0,0,0,6,6,0,0.0,0,13.9,-0.3,0.79,1,0.0,0.0,26,1,1,0,1,1,0.95946443,Dropout,Diprediksi Dropout,Benar,Risiko Sangat Tinggi
1,1,1,9238,1,1,136.0,1,19,38,9,9,121.7,0,1,0,1,0,1,20,0,0,6,9,6,11.875,0,0,6,7,6,14.428571428571429,0,16.2,0.3,-0.92,0,13.151785714285715,0.9999991666673611,20,0,1,1,0,0,0.014645897,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,17,1,9003,1,1,133.0,1,38,37,9,9,125.3,1,0,0,1,0,0,21,0,12,18,22,18,11.88888888888889,1,11,13,13,13,11.461538461538462,0,15.5,2.8,-4.06,0,11.675213675213676,0.9999996774194589,21,0,0,1,0,0,0.035522427,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,1,9670,1,1,122.0,1,12,12,5,7,126.6,1,0,0,1,0,0,18,0,0,6,8,6,14.625,0,0,6,9,6,14.142857142857142,0,11.1,0.6,2.02,0,14.383928571428571,0.9999991666673611,18,0,0,1,0,0,0.042312,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
6,17,3,8014,0,1,115.0,1,19,1,5,90,115.0,0,0,0,0,0,0,24,0,0,5,5,0,0.0,0,0,5,10,0,0.0,0,10.8,1.4,1.74,1,0.0,0.0,24,0,0,0,1,1,0.9659363,Dropout,Diprediksi Dropout,Benar,Risiko Sangat Tinggi
1,43,1,8014,0,1,148.0,1,37,37,9,9,134.7,0,0,0,1,0,0,23,0,9,13,15,9,11.0,0,4,11,12,7,11.571428571428571,0,15.5,2.8,-4.06,0,11.285714285714285,0.6666663888890046,23,0,0,1,0,0,0.23509598,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,1,9147,1,1,129.0,1,37,38,4,9,121.0,1,0,0,1,0,0,18,0,0,5,8,2,10.5,0,0,5,7,3,12.333333333333334,0,7.6,2.6,0.32,0,11.416666666666668,0.49999950000050003,18,0,0,1,0,0,0.21928662,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,17,2,9773,1,1,120.0,1,1,1,2,5,127.0,1,0,0,0,1,0,18,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,1,0.0,0.0,18,0,0,0,1,1,0.9794861,Dropout,Diprediksi Dropout,Benar,Risiko Sangat Tinggi
1,44,1,9085,1,39,140.0,1,3,38,2,9,140.0,1,0,0,1,0,0,21,0,7,12,18,8,12.25,0,4,12,27,8,12.2,0,12.4,0.5,1.79,0,12.225,0.6666663888890046,21,0,0,1,0,0,0.117019236,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,3,9773,1,1,142.0,1,34,1,5,10,136.1,1,0,0,0,1,0,19,0,0,4,8,0,0.0,1,0,6,0,0,0.0,0,9.4,-0.8,-3.12,1,0.0,0.0,19,0,0,0,1,1,0.9883979,Dropout,Diprediksi Dropout,Benar,Risiko Sangat Tinggi
2,51,1,9500,1,1,130.0,1,37,37,5,5,120.0,0,0,0,1,1,0,44,0,0,7,11,5,12.1,0,0,7,10,5,12.6,0,11.1,0.6,2.02,1,12.35,0.7142852040819971,44,0,0,1,1,0,0.37837082,Dropout,Diprediksi Tidak Dropout,Salah,Risiko Sedang
1,1,3,9773,1,1,149.0,1,1,3,0,0,148.7,0,0,0,0,1,0,20,0,0,4,4,0,0.0,0,0,4,8,0,0.0,0,10.8,1.4,1.74,1,0.0,0.0,20,0,0,0,1,1,0.974959,Dropout,Diprediksi Dropout,Benar,Risiko Sangat Tinggi
1,7,1,8014,0,3,140.0,1,1,1,4,4,140.0,0,0,0,1,0,0,30,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,1,0.0,0.0,30,0,0,1,1,1,0.9223522,Dropout,Diprediksi Dropout,Benar,Risiko Sangat Tinggi
1,1,1,9670,1,1,131.0,1,37,37,9,9,123.0,1,0,0,1,0,1,18,0,0,5,6,3,11.666666666666666,0,0,5,6,4,13.5,0,7.6,2.6,0.32,0,12.583333333333332,0.6999993000007,18,0,1,1,0,0,0.115853585,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,1,9238,1,1,151.0,1,37,1,9,9,138.4,1,0,0,1,0,1,20,0,0,6,8,6,14.25,0,0,6,8,6,11.0,0,12.7,3.7,-1.7,0,12.625,0.9999991666673611,20,0,1,1,0,0,0.042084336,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,1,9147,1,1,127.0,1,1,4,9,10,121.8,0,0,0,1,1,0,19,0,0,5,8,5,11.6,0,0,5,10,4,13.5,3,16.2,0.3,-0.92,0,12.55,0.8999991000009,19,0,0,1,0,0,0.076364316,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,1,9670,1,1,141.0,1,1,19,4,4,132.6,0,0,0,1,0,1,18,0,0,6,8,6,14.0,0,0,6,7,6,13.142857142857142,0,11.1,0.6,2.02,0,13.571428571428571,0.9999991666673611,18,0,1,1,0,0,0.047659427,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,44,3,9085,1,39,150.0,1,1,19,4,1,150.0,1,0,0,1,0,0,19,0,0,5,10,1,13.0,1,0,5,8,3,15.333333333333334,0,12.7,3.7,-1.7,0,14.166666666666668,0.3999996000004,19,0,0,1,0,1,0.5431029,Tidak Dropout,Diprediksi Dropout,Salah,Risiko Tinggi
1,1,1,9085,1,1,123.0,1,3,1,2,5,112.9,0,0,0,1,1,0,18,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,1,0.0,0.0,18,0,0,1,1,1,0.776382,Dropout,Diprediksi Dropout,Benar,Risiko Sangat Tinggi
1,17,1,9147,1,1,120.0,1,38,38,9,8,118.3,0,0,0,1,1,0,18,0,0,5,13,1,10.0,0,0,5,5,1,10.0,0,12.7,3.7,-1.7,1,10.0,0.1999998000002,18,0,0,1,1,1,0.8788755,Dropout,Diprediksi Dropout,Benar,Risiko Sangat Tinggi
1,16,1,9085,1,1,140.0,1,1,1,9,9,127.1,1,0,0,1,0,0,18,0,0,5,8,4,13.25,1,0,5,10,4,10.5,0,12.7,3.7,-1.7,0,11.875,0.7999992000008,18,0,0,1,0,0,0.09789549,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,17,4,9085,1,1,126.0,1,1,3,5,5,123.9,1,0,0,1,1,0,21,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,1,0.0,0.0,21,0,0,1,1,1,0.9015752,Dropout,Diprediksi Dropout,Benar,Risiko Sangat Tinggi
1,1,5,9500,1,1,144.0,1,37,37,7,9,126.8,1,0,1,0,0,0,18,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,9.4,-0.8,-3.12,1,0.0,0.0,18,1,0,0,1,1,0.984883,Dropout,Diprediksi Dropout,Benar,Risiko Sangat Tinggi
1,1,6,9119,1,1,126.0,1,19,19,7,3,116.6,1,0,0,1,1,1,20,0,0,5,6,5,14.0,0,0,5,7,5,13.8,0,8.9,1.4,3.51,0,13.9,0.9999990000010001,20,0,1,1,0,0,0.0346039,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,1,9238,1,1,168.0,1,37,37,9,9,149.5,0,0,0,1,0,0,18,0,0,6,10,6,17.0,0,0,6,11,6,16.0,0,12.4,0.5,1.79,0,16.5,0.9999991666673611,18,0,0,1,0,0,0.045736518,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,1,171,1,1,133.1,1,3,1,2,4,128.2,1,0,0,1,0,0,20,0,5,12,13,12,11.23076923076923,0,3,11,18,9,12.77777777777778,0,11.1,0.6,2.02,0,12.004273504273506,0.9130430812856168,20,0,0,1,0,0,0.06020157,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,17,2,9500,1,1,130.0,1,38,38,7,7,122.5,1,0,0,1,0,0,19,0,0,8,8,7,13.937142857142858,0,0,8,8,7,13.937142857142858,0,10.8,1.4,1.74,0,13.937142857142858,0.8749994531253418,19,0,0,1,0,0,0.037961755,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,4,9500,1,1,144.0,1,3,39,2,3,129.0,1,0,0,1,0,0,18,0,0,7,8,7,12.65,0,0,8,9,8,13.411111111111111,0,16.2,0.3,-0.92,1,13.030555555555555,0.9999993333337778,18,0,0,1,1,0,0.052322403,Dropout,Diprediksi Tidak Dropout,Salah,Risiko Rendah
1,1,1,9119,1,1,121.0,1,3,1,2,3,114.0,0,0,0,1,1,0,20,0,0,5,9,4,11.6,0,0,5,7,4,12.25,2,7.6,2.6,0.32,0,11.925,0.7999992000008,20,0,0,1,0,0,0.052125696,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,17,2,9773,1,1,126.0,1,19,38,9,8,118.7,1,0,0,1,0,1,18,0,0,6,6,6,14.166666666666666,0,0,6,6,6,13.666666666666666,0,12.4,0.5,1.79,0,13.916666666666666,0.9999991666673611,18,0,1,1,0,0,0.031559054,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,3,9500,1,1,136.0,1,1,1,4,4,127.0,1,0,0,1,0,0,19,0,0,8,10,1,13.67,7,0,8,10,1,13.67,7,9.4,-0.8,-3.12,0,13.67,0.12499992187504883,19,0,0,1,0,1,0.54629743,Tidak Dropout,Diprediksi Dropout,Salah,Risiko Tinggi
1,17,2,9556,1,1,133.1,1,37,38,9,8,106.0,1,0,0,1,0,0,19,0,0,7,16,2,12.75,0,0,7,12,2,11.0,0,8.9,1.4,3.51,1,11.875,0.2857140816327988,19,0,0,1,1,1,0.644107,Dropout,Diprediksi Dropout,Benar,Risiko Tinggi
1,17,4,9119,1,1,122.0,62,1,1,191,171,121.0,1,0,0,1,1,0,20,1,0,5,10,4,14.25,0,0,5,14,1,10.0,0,8.9,1.4,3.51,0,12.125,0.49999950000050003,20,0,0,1,0,0,0.15895104,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
2,39,2,8014,0,1,100.0,1,34,34,0,0,100.0,1,0,0,1,0,0,41,0,0,6,9,5,11.8,0,1,6,10,3,10.666666666666666,1,7.6,2.6,0.32,0,11.233333333333334,0.6666661111115741,41,0,0,1,0,1,0.7349447,Tidak Dropout,Diprediksi Dropout,Salah,Risiko Tinggi
1,17,1,9670,1,1,149.0,1,19,37,7,4,134.3,0,1,0,1,0,0,20,0,0,6,7,6,12.666666666666666,0,0,6,9,6,13.77777777777778,0,10.8,1.4,1.74,0,13.222222222222223,0.9999991666673611,20,0,0,1,0,0,0.0434563,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,3,9085,1,1,142.0,1,11,11,90,90,155.3,0,0,0,1,0,0,19,0,0,5,5,5,15.2,0,0,5,6,5,13.2,0,7.6,2.6,0.32,0,14.2,0.9999990000010001,19,0,0,1,0,0,0.0510417,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,1,9500,1,1,147.0,1,38,19,5,8,147.3,0,0,0,1,0,0,18,0,0,7,7,6,13.966666666666669,0,0,7,7,6,13.966666666666669,0,7.6,2.6,0.32,0,13.966666666666669,0.8571422448983965,18,0,0,1,0,0,0.025235746,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,1,9773,1,1,133.1,1,1,3,9,9,116.0,0,0,0,1,1,0,20,0,0,6,8,6,11.5,0,0,6,8,6,11.0,0,16.2,0.3,-0.92,0,11.25,0.9999991666673611,20,0,0,1,0,0,0.18105322,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,6,171,1,1,134.0,1,19,37,5,5,126.0,1,0,0,1,0,1,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,0,0.0,0.0,18,0,1,1,0,0,0.33075532,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Sedang
1,7,1,9773,1,43,140.0,1,19,1,4,8,140.0,0,0,0,1,1,0,25,0,0,6,6,6,14.666666666666666,0,0,6,6,6,13.5,0,11.1,0.6,2.02,0,14.083333333333332,0.9999991666673611,25,0,0,1,0,0,0.04014845,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,2,9556,1,1,136.0,1,19,19,9,9,129.5,1,0,0,1,0,0,18,0,0,7,9,7,15.155555555555557,0,0,8,8,8,16.8,0,12.7,3.7,-1.7,0,15.977777777777778,0.9999993333337778,18,0,0,1,0,0,0.050393425,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,2,9500,1,1,124.0,1,34,34,0,0,123.3,1,0,0,1,0,1,20,0,0,8,8,7,14.901428571428571,1,0,8,8,7,14.901428571428571,1,9.4,-0.8,-3.12,1,14.901428571428571,0.8749994531253418,20,0,1,1,1,0,0.09861673,Dropout,Diprediksi Tidak Dropout,Salah,Risiko Rendah
1,1,1,9254,1,1,132.0,1,19,38,9,7,120.1,0,0,0,1,0,1,20,0,0,6,6,6,12.333333333333334,0,0,6,7,6,11.833333333333334,0,13.9,-0.3,0.79,0,12.083333333333334,0.9999991666673611,20,0,1,1,0,0,0.015885402,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,17,2,9556,1,1,136.0,1,1,1,9,9,128.3,0,0,0,1,0,1,18,0,0,7,7,7,13.428571428571429,0,0,8,8,8,14.75,0,15.5,2.8,-4.06,0,14.089285714285715,0.9999993333337778,18,0,1,1,0,0,0.026810389,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,1,9773,1,1,122.0,1,38,19,9,9,126.6,1,0,0,1,0,0,18,0,0,6,6,6,12.833333333333334,0,0,6,6,6,13.833333333333334,0,8.9,1.4,3.51,0,13.333333333333334,0.9999991666673611,18,0,0,1,0,0,0.048141368,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,1,9147,1,1,128.0,1,38,37,5,6,122.1,0,0,0,1,0,1,18,0,0,5,11,4,11.571428571428571,0,0,5,9,5,12.0,0,13.9,-0.3,0.79,0,11.785714285714285,0.8999991000009,18,0,1,1,0,0,0.045803845,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,5,9147,1,1,133.0,1,19,3,9,9,123.2,1,0,0,1,1,0,18,0,0,5,14,4,11.0,0,0,5,9,5,10.5,0,13.9,-0.3,0.79,1,10.75,0.8999991000009,18,0,0,1,1,0,0.1186546,Dropout,Diprediksi Tidak Dropout,Salah,Risiko Rendah
4,39,1,9500,1,1,133.1,1,37,37,9,9,130.0,0,0,1,1,0,0,38,0,0,7,13,3,11.833333333333334,0,0,7,14,2,10.0,0,16.2,0.3,-0.92,1,10.916666666666668,0.35714260204099857,38,1,0,1,1,1,0.8963507,Dropout,Diprediksi Dropout,Benar,Risiko Sangat Tinggi
1,1,1,9238,1,1,125.0,1,1,1,3,3,125.7,1,0,0,1,0,0,18,0,0,6,10,6,11.571428571428571,0,0,6,8,6,12.333333333333334,0,12.4,0.5,1.79,0,11.952380952380953,0.9999991666673611,18,0,0,1,0,0,0.033535328,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,17,1,9085,1,1,128.0,1,2,19,2,4,123.3,1,0,0,1,0,1,20,0,0,6,6,6,14.833333333333334,0,0,6,8,6,12.142857142857142,0,8.9,1.4,3.51,0,13.488095238095237,0.9999991666673611,20,0,1,1,0,0,0.025510486,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,17,2,9773,1,1,123.0,1,1,1,3,3,120.9,1,0,0,1,0,0,18,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,1,0.0,0.0,18,0,0,1,1,1,0.96926236,Dropout,Diprediksi Dropout,Benar,Risiko Sangat Tinggi
1,44,1,9003,1,1,140.0,1,1,1,4,5,140.0,0,0,0,1,1,0,20,0,0,6,11,6,11.285714285714286,0,0,6,12,5,11.77777777777778,0,16.2,0.3,-0.92,0,11.531746031746033,0.9166659027784144,20,0,0,1,0,0,0.040693454,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,44,1,9003,1,39,140.0,1,19,38,3,9,140.0,1,0,0,1,1,0,21,0,0,6,7,6,12.857142857142858,0,0,6,6,6,13.166666666666666,0,12.4,0.5,1.79,0,13.011904761904763,0.9999991666673611,21,0,0,1,0,0,0.022377884,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,1,1,171,1,1,163.0,1,19,1,9,7,143.1,0,0,0,1,1,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,0,0.0,0.0,18,0,0,1,0,0,0.27079967,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Sedang
1,1,4,9500,1,1,135.0,1,38,37,9,8,126.3,1,0,0,1,0,1,19,0,0,7,7,6,15.433333333333332,0,0,7,7,6,15.433333333333332,0,7.6,2.6,0.32,0,15.433333333333332,0.8571422448983965,19,0,1,1,0,0,0.03882742,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,43,2,9147,1,1,130.0,1,34,37,9,9,118.5,1,0,0,1,1,0,23,0,5,10,19,8,11.625,1,4,10,16,10,11.181818181818182,3,7.6,2.6,0.32,0,11.40340909090909,0.899999550000225,23,0,0,1,0,0,0.10121392,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,43,1,9500,1,1,121.0,1,38,19,5,5,115.4,1,0,0,1,0,1,24,0,0,8,8,7,11.971428571428572,0,0,8,8,7,11.971428571428572,0,12.7,3.7,-1.7,0,11.971428571428572,0.8749994531253418,24,0,1,1,0,0,0.028694896,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,0,13.925625,0.9999993333337778,18,0,0,1,0,0,0.045224693,Tidak Dropout,Diprediksi Tidak Dropout,Benar,Risiko Rendah
1,17,1,9773,1,1,128.0,1,19,38,5,7,125.6,1,0,0,1,1,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,1,0.0,0.0,19,0,0,1,1,1,0.94591576,Dropout,Diprediksi Dropout,Benar,Risiko Sangat Tinggi
